Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mauritania,1019600771,1443688870,1464392416,1249944999,1315932645,1415296704,1442598431,1401946853,1375115534,1405662879,1293654175,1295539448,1324426607,1563074860,1833444740,2184445123,3040716679,3356757064,4031048268,3662282133,4337791007,5166341003,5231255478,5724227185,5391475277,4844223107,4739298730,5024708656
Malawi,1880771556,2203545857,1799517082,2070636936,1181802596,1397457932,2281034131,2663234934,1750584265,1775921718,1743506531,1716502862,3495748398,3208837077,3476094499,3655909664,3998020177,4432937046,5321012192,6191127665,6959655571,8004000737,6028487929,5518880769,6047813437,6373212641,5433040160,6303292264
Malaysia,44024178343,49142784405,59167157498,66894448545,74477975918,88704944179,1.01E+11,1.00E+11,72167753771,79148947368,93789736842,92783947368,1.01E+11,1.10E+11,1.25E+11,1.44E+11,1.63E+11,1.94E+11,2.31E+11,2.02E+11,2.55E+11,2.98E+11,3.14E+11,3.23E+11,3.38E+11,2.97E+11,2.97E+11,3.15E+11
North America,6.58E+12,6.79E+12,7.13E+12,7.46E+12,7.89E+12,8.27E+12,8.73E+12,9.26E+12,9.72E+12,1.03E+13,1.10E+13,1.14E+13,1.17E+13,1.24E+13,1.33E+13,1.43E+13,1.52E+13,1.59E+13,1.63E+13,1.58E+13,1.66E+13,1.73E+13,1.80E+13,1.85E+13,1.92E+13,1.97E+13,2.02E+13,2.11E+13
Niger,2480673195,2327986216,2344987614,1606581744,1563207225,1880803362,1987770899,1845599608,2076737357,2018193703,1798374468,1945327565,2170481509,2731416346,3052898739,3405134832,3646728060,4291363391,5379299888,5373097441,5718664505,6409184724,6942258305,7667952566,8229731384,7217667781,7528285444,8119710126
Nigeria,54035795388,49118433048,47794925816,27752204320,33833042988,44062465800,51075815092,54457835194,54604050168,59372613486,69448756933,74030364472,95385819321,1.05E+11,1.36E+11,1.76E+11,2.36E+11,2.76E+11,3.37E+11,2.92E+11,3.63E+11,4.10E+11,4.59E+11,5.15E+11,5.68E+11,4.95E+11,4.05E+11,3.76E+11
Nicaragua,1009455484,1488804124,1792800000,1756454248,3863185119,4140470000,4308351903,4389965591,4635267225,4855717875,5107329007,5323146566,5224213018,5322454926,5795568205,6321335612,6763671611,7423377429,8496965842,8298695145,8758622329,9774316692,10532001130,10982972256,11880438824,12611087031,13184989878,13814261536
Netherlands,3.14E+11,3.23E+11,3.58E+11,3.49E+11,3.74E+11,4.47E+11,4.46E+11,4.12E+11,4.32E+11,4.42E+11,4.13E+11,4.27E+11,4.65E+11,5.72E+11,6.51E+11,6.79E+11,7.27E+11,8.39E+11,9.36E+11,8.58E+11,8.36E+11,8.94E+11,8.29E+11,8.67E+11,8.80E+11,7.58E+11,7.77E+11,8.26E+11
Norway,1.20E+11,1.22E+11,1.31E+11,1.21E+11,1.27E+11,1.52E+11,1.64E+11,1.61E+11,1.54E+11,1.62E+11,1.71E+11,1.74E+11,1.95E+11,2.29E+11,2.64E+11,3.09E+11,3.45E+11,4.01E+11,4.63E+11,3.87E+11,4.29E+11,4.99E+11,5.10E+11,5.24E+11,4.99E+11,3.87E+11,3.71E+11,3.99E+11
Nepal,3627562403,3921476085,3401211581,3660041667,4066775510,4401104418,4521580381,4918691917,4856255044,5033642384,5494252208,6007055043,6050875807,6330473097,7273938315,8130258041,9043715356,10325618017,12545438605,12854985464,16002656434,18913574371,18851513891,19271168018,20002968838,21410840909,21185922408,24880266905
New Zealand,45519034244,42756020707,41636005955,46712018141,55154160816,63918039320,70140835299,66074513018,56227696195,58762260626,52622842840,53872425917,66627729311,88250885550,1.04E+11,1.15E+11,1.12E+11,1.37E+11,1.33E+11,1.21E+11,1.47E+11,1.68E+11,1.76E+11,1.91E+11,2.01E+11,1.78E+11,1.89E+11,2.06E+11
OECD members,1.87E+13,1.98E+13,2.13E+13,2.16E+13,2.31E+13,2.54E+13,2.57E+13,2.53E+13,2.55E+13,2.68E+13,2.74E+13,2.72E+13,2.83E+13,3.17E+13,3.53E+13,3.73E+13,3.94E+13,4.30E+13,4.56E+13,4.26E+13,4.46E+13,4.80E+13,4.79E+13,4.85E+13,4.95E+13,4.67E+13,4.77E+13,4.96E+13
Pakistan,40010424929,45451960732,48635176853,51478304860,51894781282,60636022423,63320122807,62433300338,62191955814,62973855719,73952374970,72309738921,72306820396,83244801093,97977766198,1.10E+11,1.37E+11,1.52E+11,1.70E+11,1.68E+11,1.77E+11,2.14E+11,2.24E+11,2.31E+11,2.44E+11,2.71E+11,2.79E+11,3.05E+11
Panama,6433967000,7074675500,8042337700,8782585400,9365289800,9573813700,9870494000,10677286100,11575486400,12130252200,12304115000,12502013400,12994310400,13693981200,15013381700,16374393900,18141666300,21295984200,25155888600,27116635600,29440287600,34686224300,40429734400,45599994000,49921464365,54091713776,57957594212,62283756584
Peru,26410386669,34672122381,36139225288,35158109999,44882079767,53312793687,55252414130,58147522523,55501467877,50187324568,51744749133,52030158775,54777553515,58731030122,66768703498,76060606061,88643193062,1.02E+11,1.21E+11,1.21E+11,1.48E+11,1.72E+11,1.93E+11,2.01E+11,2.01E+11,1.90E+11,1.92E+11,2.11E+11
Philippines,44311593756,45417561302,52976344929,54368083953,64084460124,74119987245,82848140618,82344260571,72207028768,82995145793,81026300310,76262072467,81357605642,83908206648,91371242495,1.03E+11,1.22E+11,1.49E+11,1.74E+11,1.68E+11,2.00E+11,2.24E+11,2.50E+11,2.72E+11,2.85E+11,2.93E+11,3.05E+11,3.14E+11
Papua New Guinea,3219730365,3787394958,4377980510,4974550286,5502786070,4636057476,5155311077,4936615299,3789443015,3477038204,3521339699,3081024212,2999511040,3536411824,3927157867,4865892972,8306343442,9545071325,11670678864,11619541940,14250726290,17984816533,21295834133,21261305413,23060047128,20638636035,19028120013,20536314601
Pre-demographic dividend,1.94E+11,1.89E+11,1.76E+11,1.54E+11,1.46E+11,1.73E+11,1.91E+11,2.01E+11,2.04E+11,2.07E+11,2.36E+11,2.33E+11,2.78E+11,3.17E+11,3.88E+11,4.88E+11,6.22E+11,7.51E+11,9.47E+11,8.56E+11,1.01E+12,1.18E+12,1.31E+12,1.43E+12,1.53E+12,1.34E+12,1.22E+12,1.30E+12
Portugal,78721607509,89242382961,1.08E+11,95019103603,99698453261,1.18E+11,1.23E+11,1.17E+11,1.24E+11,1.27E+11,1.18E+11,1.22E+11,1.34E+11,1.65E+11,1.89E+11,1.97E+11,2.09E+11,2.40E+11,2.62E+11,2.44E+11,2.38E+11,2.45E+11,2.16E+11,2.26E+11,2.30E+11,1.99E+11,2.05E+11,2.18E+11
Post-demographic dividend,1.84E+13,1.94E+13,2.08E+13,2.09E+13,2.24E+13,2.49E+13,2.50E+13,2.45E+13,2.46E+13,2.58E+13,2.63E+13,2.60E+13,2.72E+13,3.05E+13,3.39E+13,3.56E+13,3.75E+13,4.09E+13,4.32E+13,4.07E+13,4.24E+13,4.55E+13,4.55E+13,4.59E+13,4.68E+13,4.43E+13,4.53E+13,4.71E+13
Rwanda,2550185618,1911600970,2029026704,1971525999,753636370.5,1293535011,1382334879,1851558302,1989343495,1817654508,1734938652,1674685248,1677552332,1846198771,2088961969,2581313486,3152324689,3824788145,4860093843,5378925895,5773084568,6563320570,7334917697,7621923308,8016591928,8277613194,8475681533,9135454442
South Asia,4.03E+11,3.59E+11,3.81E+11,3.77E+11,4.28E+11,4.75E+11,5.20E+11,5.45E+11,5.53E+11,5.92E+11,6.16E+11,6.32E+11,6.63E+11,7.74E+11,8.98E+11,1.03E+12,1.18E+12,1.49E+12,1.52E+12,1.67E+12,2.04E+12,2.27E+12,2.30E+12,2.36E+12,2.58E+12,2.70E+12,2.90E+12,3.29E+12
Sudan,12408647541,11379222222,7034219713,8881785938,12794192334,13829744879,9018243044,11681494637,11250327988,10682045258,12257418326,13182979784,14803189093,17646503525,21457470203,26524538566,35822408612,45898948564,54526580232,53150209168,65634109237,67327289320,68125631150,72065940086,82151588419,97156119150,95584380032,1.17E+11
Senegal,7237100724,7111252866,7602005274,7189226453,4908415369,6176312552,6413189839,5915250258,6368265194,6512207622,5924239701,6174898370,6752510283,8683229268,10167441854,11022821632,11847848225,14285970085,16949789465,16248212852,16215069256,17878780185,17825417949,18960182371,19770919167,17767620059,18973894459,21070225735
Singapore,36152027893,45474442836,52156414979,60644572348,73777792327,87890009877,96403758865,1.00E+11,85707636233,86283126844,95833932715,89286208629,91941192896,97001377569,1.14E+11,1.27E+11,1.48E+11,1.80E+11,1.92E+11,1.92E+11,2.36E+11,2.76E+11,2.91E+11,3.04E+11,3.12E+11,3.04E+11,3.10E+11,3.24E+11
Sierra Leone,649644826.8,779981458.9,679997997.6,768812334.8,911915970.7,870758739.4,941742152.7,850218033.6,672375927.3,669384768.9,635874002.2,1090467712,1253340520,1385810072,1448536631,1650494367,1885112202,2158496873,2505458705,2453899847,2578026297,2942546781,3801862611,4920343195,5015157816,4218723875,3556036535,3775047334
Sub-Saharan Africa (excluding high income),3.35E+11,3.41E+11,3.36E+11,3.14E+11,3.09E+11,3.55E+11,3.66E+11,3.80E+11,3.64E+11,3.67E+11,3.91E+11,3.73E+11,4.07E+11,5.11E+11,6.37E+11,7.59E+11,9.05E+11,1.05E+12,1.20E+12,1.15E+12,1.37E+12,1.55E+12,1.63E+12,1.74E+12,1.83E+12,1.66E+12,1.54E+12,1.67E+12
Sub-Saharan Africa,3.36E+11,3.42E+11,3.37E+11,3.14E+11,3.10E+11,3.55E+11,3.67E+11,3.81E+11,3.65E+11,3.68E+11,3.92E+11,3.74E+11,4.08E+11,5.12E+11,6.38E+11,7.60E+11,9.06E+11,1.05E+12,1.21E+12,1.15E+12,1.37E+12,1.55E+12,1.63E+12,1.74E+12,1.83E+12,1.67E+12,1.54E+12,1.67E+12
Suriname,388400000,448100000,404600000,428764705.9,605492537.3,691590497.7,861411471.3,926422500,1110850000,886290697.7,947671969.7,834279357.8,1093574468,1274190311,1484092538,1793388732,2626493057,2936440801,3532961749,3875555556,4368398048,4422646204,4958566170,5149556634,5235212206,4767414748,3152173913,2995827901
Sweden,2.58E+11,2.70E+11,2.80E+11,2.10E+11,2.26E+11,2.64E+11,2.88E+11,2.64E+11,2.67E+11,2.71E+11,2.60E+11,2.40E+11,2.64E+11,3.31E+11,3.82E+11,3.89E+11,4.20E+11,4.88E+11,5.14E+11,4.30E+11,4.88E+11,5.63E+11,5.44E+11,5.79E+11,5.74E+11,4.98E+11,5.14E+11,5.38E+11
Eswatini,1114703088,1156141998,1284766234,1357206996,1419293455,1698982438,1602760100,1716699913,1576904292,1547884442,1738100853,1542477309,1432228125,2197612701,2770082792,3178126492,3291353836,3469363996,3294093485,3580417067,4438778424,4820499924,4823831657,4560713074,4377293816,4020275298,3817430000,4433664364
Seychelles,368584758.9,374359556.1,433667193.8,473916819.5,486451204.6,508221508.2,503068472.2,562958836.5,608369282.2,622985493.7,614879764.8,622262057.2,697518248.2,705704816,839319927.3,919103254.5,1016418229,1033561654,967199594,847397850.1,969936525.3,1065826670,1060222480,1328158360,1343010475,1377492466,1427525457,1497959569
Chad,1738605558,1877138042,1881847677,1463251055,1179837955,1445919970,1607345450,1544689503,1744794457,1534673583,1385058162,1709347793,1987622279,2736666516,4414929220,6646663561,7422102656,8638711443,10351932604,9253484108,10657705536,12156380425,12368071039,12949854263,13922223234,10945989472,10090922857,9871247732
East Asia & Pacific (IDA & IBRD countries),6.62E+11,7.18E+11,8.05E+11,8.83E+11,1.06E+12,1.31E+12,1.51E+12,1.56E+12,1.43E+12,1.57E+12,1.73E+12,1.84E+12,2.04E+12,2.31E+12,2.68E+12,3.10E+12,3.73E+12,4.72E+12,5.98E+12,6.49E+12,7.87E+12,9.62E+12,1.07E+13,1.18E+13,1.27E+13,1.32E+13,1.35E+13,1.47E+13
Togo,1628427515,1602299863,1692959110,1233496846,982624324.5,1309382885,1465448290,1498950899,1587345951,1576094566,1488185772,1481141850,1698678686,2111093198,2255942249,2280575830,2349495621,2659095101,3310277927,3365711796,3426022206,3867391618,3873529926,4320427496,4568900620,4179185205,4457732625,4757776485
Thailand,85343063966,98234695722,1.11E+11,1.29E+11,1.47E+11,1.69E+11,1.83E+11,1.50E+11,1.14E+11,1.27E+11,1.26E+11,1.20E+11,1.34E+11,1.52E+11,1.73E+11,1.89E+11,2.22E+11,2.63E+11,2.91E+11,2.82E+11,3.41E+11,3.71E+11,3.98E+11,4.20E+11,4.07E+11,4.01E+11,4.12E+11,4.55E+11
Latin America & the Caribbean (IDA & IBRD countries),1.11E+12,1.38E+12,1.30E+12,1.50E+12,1.72E+12,1.83E+12,1.99E+12,2.19E+12,2.20E+12,1.97E+12,2.17E+12,2.12E+12,1.88E+12,1.92E+12,2.22E+12,2.71E+12,3.18E+12,3.77E+12,4.40E+12,4.12E+12,5.15E+12,5.88E+12,5.93E+12,6.08E+12,6.20E+12,5.29E+12,5.15E+12,5.72E+12
South Asia (IDA & IBRD),4.03E+11,3.59E+11,3.81E+11,3.77E+11,4.28E+11,4.75E+11,5.20E+11,5.45E+11,5.53E+11,5.92E+11,6.16E+11,6.32E+11,6.63E+11,7.74E+11,8.98E+11,1.03E+12,1.18E+12,1.49E+12,1.52E+12,1.67E+12,2.04E+12,2.27E+12,2.30E+12,2.36E+12,2.58E+12,2.70E+12,2.90E+12,3.29E+12
Sub-Saharan Africa (IDA & IBRD countries),3.36E+11,3.42E+11,3.37E+11,3.14E+11,3.10E+11,3.55E+11,3.67E+11,3.81E+11,3.65E+11,3.68E+11,3.92E+11,3.74E+11,4.08E+11,5.12E+11,6.38E+11,7.60E+11,9.06E+11,1.05E+12,1.21E+12,1.15E+12,1.37E+12,1.55E+12,1.63E+12,1.74E+12,1.83E+12,1.67E+12,1.54E+12,1.67E+12
Trinidad and Tobago,5068000000,5307905882,5439552941,4669488516,4947205860,5329214163,5759537726,5737751332,6043694330,6808982521,8154338233,8824873259,9008273721,11305459802,13280275123,15982282462,18369361094,21641620050,27871587350,19172165226,22157253321,25366520907,25601811994,26578524198,27200280855,24401734195,22295585700,22079017627
Turkey,1.51E+11,1.50E+11,1.58E+11,1.80E+11,1.31E+11,1.69E+11,1.81E+11,1.90E+11,2.76E+11,2.56E+11,2.73E+11,2.00E+11,2.38E+11,3.12E+11,4.05E+11,5.01E+11,5.52E+11,6.76E+11,7.64E+11,6.45E+11,7.72E+11,8.33E+11,8.74E+11,9.51E+11,9.34E+11,8.60E+11,8.64E+11,8.52E+11
Uganda,4304398866,3321729057,2857457860,3220439044,3990430447,5755818947,6044585327,6269333313,6584815847,5998563258,6193246837,5840503869,6178563591,6336696289,7940362799,9013834373,9942597780,12292813603,14239026630,18168902154,20186496527,20176025257,23114293416,24599550624,27291879819,27102650387,24133664285,25995031850
Upper middle income,2.53E+12,2.76E+12,2.64E+12,2.88E+12,3.13E+12,3.53E+12,3.85E+12,4.11E+12,4.05E+12,3.84E+12,4.25E+12,4.33E+12,4.51E+12,5.04E+12,6.05E+12,7.28E+12,8.66E+12,1.08E+13,1.32E+13,1.27E+13,1.54E+13,1.84E+13,1.97E+13,2.10E+13,2.17E+13,2.02E+13,2.01E+13,2.22E+13
Uruguay,9298839655,11205971155,12878199881,15002106518,17474647792,19297663097,20515543039,23969823010,25385928198,23983945191,22823255802,20898788417,13606494599,12045631093,13686329890,17362857684,19579457966,23410572634,30366213119,31660911277,40284481652,47962439304,51264390116,57531233351,57236013086,53274304222,52687612262,56156972158
United States,5.98E+12,6.17E+12,6.54E+12,6.88E+12,7.31E+12,7.66E+12,8.10E+12,8.61E+12,9.09E+12,9.66E+12,1.03E+13,1.06E+13,1.10E+13,1.15E+13,1.23E+13,1.31E+13,1.39E+13,1.45E+13,1.47E+13,1.44E+13,1.50E+13,1.55E+13,1.62E+13,1.67E+13,1.74E+13,1.81E+13,1.86E+13,1.94E+13
St. Vincent and the Grenadines,240365262.6,254829629.6,277954111.1,286307814.8,289438481.5,316008481.5,331489703.7,347770000,373619851.9,390719148.1,396261370.4,430039296.3,461883444.4,481806296.3,521975111.1,550728666.7,610930037,684446259.3,695428851.9,674922481.5,681225963,676129407.4,692933740.7,721208998.2,727714407.1,755458031.4,770762204.1,785222509.1
World,2.26E+13,2.40E+13,2.54E+13,2.59E+13,2.78E+13,3.09E+13,3.16E+13,3.15E+13,3.14E+13,3.25E+13,3.36E+13,3.34E+13,3.47E+13,3.89E+13,4.38E+13,4.75E+13,5.14E+13,5.80E+13,6.36E+13,6.03E+13,6.60E+13,7.33E+13,7.50E+13,7.71E+13,7.92E+13,7.49E+13,7.60E+13,8.07E+13
South Africa,1.16E+11,1.24E+11,1.35E+11,1.34E+11,1.40E+11,1.55E+11,1.48E+11,1.53E+11,1.38E+11,1.37E+11,1.36E+11,1.22E+11,1.16E+11,1.75E+11,2.29E+11,2.58E+11,2.72E+11,2.99E+11,2.87E+11,2.96E+11,3.75E+11,4.16E+11,3.96E+11,3.67E+11,3.51E+11,3.18E+11,2.96E+11,3.49E+11
Zambia,3285217391,3378882353,3181921788,3273237853,3656647744,3807067122,3597220962,4303281932,3537683046,3404311977,3600683040,4094480988,4193845678,4901839731,6221077675,8331870169,12756858899,14056957976,17910858638,15328342304,20265556274,23460098340,25503370699,28045460442,27150630607,21154394546,20954754378,25868142073
Zimbabwe,8783816700,8641481700,6751472200,6563813300,6890675000,7111270700,8553146600,8529571600,6401968200,6858013100,6689957600,6777384700,6342116400,5727591800,5805598400,5755215200,5443896500,5291950100,4415702800,9665793300,12041655200,14101920300,17114849900,19091020000,19495519600,19963120600,20548678100,22040902300
