Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Congo, Dem. Rep.",9349764580,9625436873,8227343907,10706259937,5820382248,5643439376,5771454940,6090840548,6215591270,4711259427,19088046306,7438189100,8728038525,8937567060,10297483481,11964484668,14451902468,16737071816,19788515874,18648373312,21565720044,25839749199,29306235826,32679745298,35909040266,37917704900,37134799975,37642482562
"Congo, Rep.",2798746051,2724853593,2933222714,1918970032,1769365425,2116003978,2540697688,2322718991,1949481297,2353909564,3219910550,2794259783,3019993739,3495868808,4648628921,6087003176,7731261311,8394688284,11859013281,9593537551,12007880439,14425607180,13677930124,14085851348,14177437982,8553154580,9035848071,8701334800
Colombia,47844090710,49175565911,58418985443,66446804803,81703500846,92507279383,97160109278,1.07E+11,98443739941,86186158685,99886577331,98203546156,97933391976,94684584163,1.17E+11,1.45E+11,1.61E+11,2.06E+11,2.42E+11,2.32E+11,2.86E+11,3.34E+11,3.71E+11,3.82E+11,3.81E+11,2.93E+11,2.83E+11,3.14E+11
Costa Rica,5711687787,7168999670,8528593421,9537297723,10432619326,11513472786,11618286652,12552071488,13617405297,14195623343,14949514493,15913363441,16504795593,17195867468,18529767918,19952156489,22600431883,26743874206,30612932876,30562361123,37268635287,42262697840,46473128285,49745088112,50577769838,54775994478,57157992434,57285984448
Caribbean small states,17959211147,17763082530,17490762568,18906881922,19904505764,21996669072,24019482919,28143148045,30068485136,31871092687,34177064571,35220649367,36957137316,39498589670,43221500667,48878552451,54565407833,60904230941,69102174030,58163115347,63268926037,68351085109,70588397891,71335339138,72495698044,70862033354,67665555626,68823642410
Denmark,1.38E+11,1.39E+11,1.53E+11,1.43E+11,1.56E+11,1.85E+11,1.88E+11,1.74E+11,1.77E+11,1.78E+11,1.64E+11,1.65E+11,1.79E+11,2.18E+11,2.51E+11,2.64E+11,2.83E+11,3.19E+11,3.53E+11,3.21E+11,3.22E+11,3.44E+11,3.27E+11,3.44E+11,3.53E+11,3.01E+11,3.07E+11,3.25E+11
Dominican Republic,7073675545,9734321854,11356271336,13081042400,14664237667,16598679279,18241691857,20017908829,21672526563,22137599986,24305116729,25599311449,27362875603,21642882856,22692574473,36119047252,38116351526,44169678153,48288967303,48376555306,53982886258,57811180659,60657780261,62661773592,66065015410,68802092021,72342967648,75931656815
Algeria,62045099643,45715367087,48003298223,49946455211,42542571306,41764052458,46941496780,48177862502,48187747529,48640574567,54790245601,54744714396,56760288974,67863829880,85324998814,1.03E+11,1.17E+11,1.35E+11,1.71E+11,1.37E+11,1.61E+11,2.00E+11,2.09E+11,2.10E+11,2.14E+11,1.66E+11,1.60E+11,1.68E+11
East Asia & Pacific (excluding high income),6.63E+11,7.20E+11,8.06E+11,8.85E+11,1.06E+12,1.31E+12,1.51E+12,1.56E+12,1.43E+12,1.58E+12,1.74E+12,1.85E+12,2.04E+12,2.31E+12,2.68E+12,3.11E+12,3.74E+12,4.73E+12,5.99E+12,6.50E+12,7.88E+12,9.64E+12,1.07E+13,1.19E+13,1.28E+13,1.33E+13,1.35E+13,1.47E+13
Early-demographic dividend,1.81E+12,1.92E+12,2.11E+12,2.31E+12,2.42E+12,2.49E+12,2.71E+12,2.90E+12,2.87E+12,3.03E+12,3.29E+12,3.26E+12,3.16E+12,3.52E+12,4.09E+12,4.76E+12,5.45E+12,6.47E+12,7.30E+12,7.02E+12,8.53E+12,9.58E+12,1.00E+13,1.02E+13,1.06E+13,1.03E+13,1.05E+13,1.13E+13
