Country,1990_Spend,1991_Spend,1992_Spend,1993_Spend,1994_Spend,1995_Spend,1996_Spend,1997_Spend,1998_Spend,1999_Spend,2000_Spend,2001_Spend,2002_Spend,2003_Spend,2004_Spend,2005_Spend,2006_Spend,2007_Spend,2008_Spend,2009_Spend,2010_Spend,2011_Spend,2012_Spend,2013_Spend,2014_Spend,2015_Spend,2016_Spend,2017_Spend
Bahrain,239361702.1,263297872.3,279255319.1,279255319.1,284574468.1,303191489.4,321808510.6,321808510.6,329787234.0,364361702.1,359042553.2,372340425.5,444148936.2,515957446.8,531914893.6,513297872.3,574202127.7,642553191.5,719946808.5,828191489.4,842819148.9,1033510638.0,1182180851.0,1347606383.0,1475265957.0,1442021277.0,1505534574.0,1532712766.0
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,241025517.6,202282838.9,200100307.3,173304847.7,178375570.1,195049685.1,233292390.7,242471357.8,219915489.5,211878260.6,197344650.2,197617188.8,190380454.6,162215681.9,157912010.6,164638050.3
Belarus,,,,,,179081676.9,182805614.6,249384139.4,227586087.3,165903848.9,140326204.7,177697841.7,204364237.4,231563860.4,314314017.8,452684068.3,631831238.1,746943264.0,883027522.9,675426505.1,767699285.9,756277351.3,817069894.1,971107820.3,1010827014.0,723659955.0,597207572.1,631145399.2
Belize,4768750.0,4732875.0,5292125.0,6130375.0,7899375.0,8052875.0,7965875.0,9395000.0,,,7116125.0,7454662.5,7829937.5,8552225.0,9486150.0,10710962.5,12283037.5,13759075.0,18717737.5,17267537.5,15337250.0,15416250.0,15219125.0,17778875.0,19916875.0,19717625.0,21712887.5,23456750.0
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,137065127.5,143643960.1,141441910.3,109897118.0,134595240.4,140760862.8,146963017.8,180200446.9,228677000.4,176744242.1,173245422.5,184397571.0,160437935.8,173431324.8,168881603.1,169262316.4,179525489.2,221280687.8,327194708.2,345777777.8,327413146.1,403568566.1,499870043.4,564409840.8,625885094.1,575524224.9,552381263.9,574070189.6
Brazil,9236296955.0,6694665295.0,4993804467.0,7099899155.0,10591499118.0,14318919608.0,14073226545.0,13934266552.0,14357357047.0,9866973919.0,11344032535.0,10930231568.0,9664561903.0,8392905884.0,9780111585.0,13588619736.0,16404867307.0,20485758015.0,24452903036.0,25648809911.0,34002944470.0,36936209896.0,33987005074.0,32874787231.0,32659614241.0,24617701683.0,24224746901.0,29283050314.0
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,231168587.6,245434285.5,251692787.5,233941291.9,261876080.2,285738475.2,328359479.2,369070790.2,293977055.4,258413177.9,244205202.0,217667939.2,226182431.5,243373245.0,199381149.3,248588079.8,293436463.5,323137150.8,361989034.5,349759722.8,390719540.0,415371529.0,411261473.9,412094279.8,527785231.7,424022039.2,403366488.7,346706804.4
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,156250839.8,172269188.2,177986045.6,185671482.9,170433762.3,165873977.8,140560134.8,160507675.1,181051047.4,169578756.2,184718394.6,210322093.6,223549258.8,301014357.8,314038897.1,283835745.1,272934274.8,306451402.7,332400254.3,330147278.7,348672725.3,363324481.2,326874161.7,306438573.6,346281450.3,383739877.5,514463449.2,522430455.5
Central African Republic,,21598187.92,23185438.17,19144450.37,10689745.23,13014176.16,12196218.57,,,,,,10681962.96,15018926.36,15103589.92,15396194.65,,19112519.74,31511483.79,35992384.36,51585274.5,49874328.73,42746025.19,47923245.08,38407006.26,26703863.39,26832998.82,27516264.18
Canada,11414631847.0,11338503299.0,10788803124.0,10268822622.0,9577377640.0,9176903908.0,8615884471.0,7945140183.0,7748607984.0,8210778540.0,8299385231.0,8375571425.0,8495399281.0,9958245602.0,11336489831.0,12988132964.0,14809892803.0,17417139931.0,19342058405.0,18936226052.0,19315688825.0,21393720864.0,20452107111.0,18515731210.0,17853720278.0,17937641895.0,17782775543.0,21343371455.0
Central Europe and the Baltics,4921672408.0,4053915446.0,4844770755.0,6397697330.0,7369251245.0,8826211623.0,8912763074.0,8949858772.0,9216475552.0,8322771004.0,7819364628.0,8692492163.0,9813280324.0,11579104282.0,13174732647.0,15586419367.0,16886180864.0,20891520173.0,23340425676.0,19767826118.0,19462448031.0,20478373564.0,18980363983.0,19606008303.0,20730298879.0,19724301713.0,19501560114.0,22023783014.0
Switzerland,4056408189.0,4016764413.0,4138043834.0,3611212626.0,3899275421.0,4645360982.0,4239447901.0,3498218851.0,3494250971.0,3146822887.0,2800146846.0,2763655325.0,2882696762.0,3270337504.0,3503819863.0,3484636759.0,3328973394.0,3524746536.0,4098459038.0,4055544323.0,4115407849.0,4973863849.0,4592165378.0,5032883664.0,4612776715.0,4521076909.0,4571348247.0,4628401509.0
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,1031475584.0,1038039494.0,1168858391.0,1291053676.0,1466048832.0,1827997369.0,1904105834.0,2120702608.0,2112373123.0,2043134812.0,2103460610.0,1893098224.0,1779553138.0,2067983998.0,2687320866.0,3100391591.0,3855358069.0,4022478104.0,4641877576.0,3902221588.0,4894081125.0,5686752070.0,5466101782.0,5529879481.0,5102779356.0,4630772774.0,4796010962.0,5370018135.0
China,10085081567.0,9953641758.0,12420300875.0,12577165930.0,10050586559.0,12606229599.0,14563240390.0,16104915232.0,17527989869.0,21027341242.0,22929764607.0,27875387284.0,32137735649.0,35126306608.0,40352713136.0,45918881613.0,55337487669.0,68011562228.0,86362099113.0,106000000000.0,116000000000.0,138000000000.0,157000000000.0,180000000000.0,201000000000.0,214000000000.0,216000000000.0,228000000000.0
Cote d'Ivoire,143973702.1,144168701.9,156797334.3,148635238.4,84071649.21,,102660140.1,93525611.26,,,,,,213007570.5,250811588.4,249872978.1,267360247.9,323619193.5,368910574.9,420059044.5,387692140.0,357330259.0,407596534.1,430003643.4,521260479.6,569671147.2,602538731.2,501578732.2
Cameroon,180577745.9,178198343.2,183796639.1,168175220.6,94517340.44,113575532.7,116936303.6,118711118.8,137245911.5,144704636.5,123034343.9,124301708.4,145626610.5,188499655.9,221107924.7,223084623.1,256927843.3,296698917.3,346586125.7,343265154.0,354054397.8,347477885.7,354447463.1,392840660.7,401529079.8,353815199.9,387437830.9,408157575.1
"Congo, Dem. Rep.",45933813.55,43891987.21,85527294.36,469173805.5,,,89269879.98,83825040.92,26629667.19,149277860.3,132883821.7,,,78708031.88,137637805.5,165205060.9,205102086.6,205217223.0,159998426.6,122378011.0,183682097.5,238787546.6,332493979.4,374475561.3,341224738.6,491276856.5,395733745.2,295236074.3
"Congo, Rep.",,,125617699.1,109477580.1,,,,,,,,54445943.53,70704230.2,93776668.96,124298437.4,100916074.5,126569641.8,168079588.2,207724344.3,,218390920.6,,,367057323.3,704893662.2,,501812144.9,371937055.1
Colombia,889979074.5,911467589.2,1102357227.0,1529432893.0,2005122888.0,2619338187.0,4318552316.0,2988711261.0,3389806738.0,3247296766.0,3027922793.0,3264438192.0,3347522602.0,3278369503.0,4056896991.0,4914190182.0,5326664238.0,6775762767.0,9051130502.0,9033202673.0,10422054494.0,10306578506.0,11706271913.0,12503812627.0,11845957098.0,9127165375.0,8675980823.0,10018029818.0
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,3557902.66,2735413.4080000003,3431398.887,6206630.034,4261939.788,4099737.381,4513154.879,5004734.208000001,6801072.7979999995,4638556.172,4520858.938,5782831.642999999,6452150.492000001,7082416.5479999995,6985154.839,7943659.594,10758715.97,8402927.293,8239369.292,9757536.562,9736385.839,9815667.259,10049332.21,8922219.455,10171216.5,9354384.166000001
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caribbean small states,,,,77754357.77,71806248.64,,,,,,,82145538.41,100872444.8,113479984.4,162040671.5,186300164.4,219665997.2,246993486.0,319035957.2,301655230.5,305046766.2,327552252.6,355159679.7,392549709.7,369393544.5,392126504.3,427200740.1,429494239.1
Cuba,,,,,,,,,,,,,,296933962.3,62047619.05,78557142.86,76587443.95,83365638.77,89057268.72,92462555.07,94277533.04,93744493.39,126872246.7,119383259.9,125638766.5,118370044.1,123656387.7,122552919.0
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,411409063.3,418387368.7,630127106.0,268277271.6,298469126.9,298833385.5,448075909.3,534141188.7,483748645.1,289970367.0,281160374.3,327627160.3,242483491.0,288427605.8,338474566.3,380875028.8,387703672.0,405176368.5,453803054.2,471352781.1,477587428.6,479735318.4,414496321.4,384925361.0,357806840.0,327891760.0,295355010.0,357380920.8
Czech Republic,,,,815585466.9,938252776.6,1065352459.0,1123923831.0,988324331.8,1166099773.0,1205931870.0,1157294085.0,1182519922.0,1494390397.0,1885706689.0,2042085931.0,2439538514.0,2449963710.0,2707677752.0,2918695853.0,2718559513.0,2497902955.0,2474313259.0,2220610395.0,2148784401.0,2022883295.0,1779887189.0,1954935000.0,2077722061.0
Germany,42318768301.0,39516328623.0,41965836693.0,37215052110.0,36330284517.0,41158705095.0,38989886649.0,33217573925.0,33146457057.0,32604005638.0,28149990787.0,27425257940.0,29333207849.0,35055088179.0,38007611456.0,38054021788.0,38092382653.0,42551851943.0,48081444318.0,47470073335.0,46255521194.0,48140347951.0,46470870905.0,45930540563.0,46102673010.0,39812576245.0,41579494874.0,45381722042.0
Djibouti,31116187.73,31774522.99,33625739.22,31065546.56,30711058.34,29608206.12,24527208.38,26552855.32,26704778.84,26779052.56,26025061.75,26048131.62,33250994.54,41763775.81,37355742.99,44847260.59,49515814.11,34518711.91,36274835.28,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2649889473.0,2671946671.0,2837745377.0,2682011246.0,2718790042.0,3117966146.0,3086224945.0,2804317083.0,2846065338.0,2784881254.0,2392510831.0,2525225825.0,2694082493.0,3199158428.0,3578832460.0,3468452920.0,3896730668.0,4175652589.0,4788030121.0,4337355690.0,4503492127.0,4518590127.0,4422458084.0,4216647585.0,4056861511.0,3364047774.0,3592727944.0,3764033344.0
